都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
232114,86,愛知県,豊田市,若林公園,ﾜｶﾊﾞﾔｼｺｳｴﾝ,Wakabayashi park,豊田市若林東町高根下90番地1,,,35.02676,137.09952,1,1,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
232114,87,愛知県,豊田市,入沢公園,ｲﾘｻﾜｺｳｴﾝ,Irisawa park,豊田市広川町9丁目152番地,,,35.08151,137.18001,3,2,1,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,88,愛知県,豊田市,井畑公園,ｲﾊﾞﾀｺｳｴﾝ,Ibata park,"豊田市平戸橋町下井畑152番地",,,35.11176,137.18977,3,2,1,0,1,1,0,0,0,0,1,有,無,無,,,,,,
232114,89,愛知県,豊田市,尺口公園,ｼｬｸｸﾞﾁｺｳｴﾝ,Shakuguchi park,"豊田市越戸町尺口203番地",,,35.10882,137.18876,3,2,1,0,1,1,0,0,0,0,1,有,無,無,,,,,,
232114,90,愛知県,豊田市,下越戸公園,ｼﾓｺｼﾄﾞｺｳｴﾝ,Shimokoshido park,豊田市越戸町神ノ木101番地,,,35.1065,137.18498,3,2,1,0,1,1,0,0,0,0,1,有,無,無,,,,,,
232114,91,愛知県,豊田市,宮上南公園,ﾐﾔｶﾞﾐﾐﾅﾐｺｳｴﾝ,Miyagamiminami park,豊田市宮上町,,,35.09223,137.13255,3,2,0,1,2,1,1,0,0,0,1,有,無,無,,,,,,
232114,92,愛知県,豊田市,鴛鴨公園,ｵｼｶﾓｺｳｴﾝ,Oshikamo park,豊田市鴛鴨町新林51番地1,,,35.02998,137.14493,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,93,愛知県,豊田市,吉原公園,ﾖｼﾜﾗｺｳｴﾝ,Yoshiwara park,豊田市吉原町宮里24番地,,,35.01739,137.09732,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,94,愛知県,豊田市,しゅうさん公園,ｼｭｳｻﾝｺｳｴﾝ,Shusan park,豊田市竜神町寺池1番地14,,,35.05359,137.13553,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,95,愛知県,豊田市,一本木公園,ｲｯﾎﾟﾝｷﾞｺｳｴﾝ,Ippongi park,豊田市本町共和9番地,,,35.05347,137.11565,2,1,1,0,1,1,0,0,0,0,1,有,無,無,,,,,,
